Type,POS,Headword,Rank,Freq,Range,NormFreq,NormRange
hám, conjunction,hám,1,378,1,21854.764,1.000
menen			2	197	1	11389.917	1.000
ol		pronoun ol	3	148	1	8556.892	1.000
bul		pronoun bul	4	146	1	8441.258	1.000
bir			5	129	1	7458.372	1.000
bolıp			6	111	1	6417.669	1.000
onıń	pronoun	ol	7	98	1	5666.050	1.000
da			8	86	1	4972.248	1.000
jılı	noun	jıl	8	86	1	4972.248	1.000
bolǵan			10	82	1	4740.981	1.000
óz	pronoun 		10	82	1	4740.981	1.000
ázerbayjan			12	76	1	4394.080	1.000
dep			13	71	1	4104.995	1.000
eń			14	67	1	3873.728	1.000
ushın			15	66	1	3815.911	1.000
degen			16	54	1	3122.109	1.000
penen			17	53	1	3064.292	1.000
belgili			18	52	1	3006.475	1.000
qaraqalpaq			19	50	1	2890.842	1.000
basqa			20	47	1	2717.391	1.000
boladı			21	46	1	2659.574	1.000
ájiniyaz			21	46	1	2659.574	1.000
xalıq			23	45	1	2601.758	1.000
bar			24	43	1	2486.124	1.000
al			25	42	1	2428.307	1.000
edi			26	41	1	2370.490	1.000
shayır			27	40	1	2312.673	1.000
kóp			28	39	1	2254.857	1.000
de			29	38	1	2197.040	1.000
title			29	38	1	2197.040	1.000
kórkem			31	37	1	2139.223	1.000
payda			31	37	1	2139.223	1.000
biraq			33	36	1	2081.406	1.000
eki			34	35	1	2023.589	1.000
úlken			34	35	1	2023.589	1.000
biri			36	34	1	1965.772	1.000
boldı			37	33	1	1907.956	1.000
haqqında			37	33	1	1907.956	1.000
sonıń			37	33	1	1907.956	1.000
tárepinen			37	33	1	1907.956	1.000
adam			41	32	1	1850.139	1.000
bolsa			42	31	1	1792.322	1.000
keyin			42	31	1	1792.322	1.000
jıl			44	30	1	1734.505	1.000
sol			44	30	1	1734.505	1.000
usı			44	30	1	1734.505	1.000
óziniń			44	30	1	1734.505	1.000
m			48	29	1	1676.688	1.000
berdaq			49	28	1	1618.871	1.000
boyınsha			49	28	1	1618.871	1.000
esaplanadı			49	28	1	1618.871	1.000
jaqsı			49	28	1	1618.871	1.000
aq			53	27	1	1561.055	1.000
arab			53	27	1	1561.055	1.000
arasında			53	27	1	1561.055	1.000
b			53	27	1	1561.055	1.000
iye			53	27	1	1561.055	1.000
nawayı			53	27	1	1561.055	1.000
yamasa			53	27	1	1561.055	1.000
ǵana			53	27	1	1561.055	1.000
birinshi			61	26	1	1503.238	1.000
jámiyettiń			61	26	1	1503.238	1.000
rus			61	26	1	1503.238	1.000
sıyaqlı			61	26	1	1503.238	1.000
baslap			65	25	1	1445.421	1.000
shayırdıń			65	25	1	1445.421	1.000
emes			67	24	1	1387.604	1.000
hár			67	24	1	1387.604	1.000
olar			67	24	1	1387.604	1.000
áyyemgi			67	24	1	1387.604	1.000
aral			71	23	1	1329.787	1.000
bolıwı			71	23	1	1329.787	1.000
házirgi			71	23	1	1329.787	1.000
jazǵan			71	23	1	1329.787	1.000
onı			71	23	1	1329.787	1.000
ulı			71	23	1	1329.787	1.000
alıp			77	21	1	1214.154	1.000
etip			77	21	1	1214.154	1.000
jańa			77	21	1	1214.154	1.000
qız			77	21	1	1214.154	1.000
tili			77	21	1	1214.154	1.000
a			82	20	1	1156.337	1.000
birge			82	20	1	1156.337	1.000
jaylasqan			82	20	1	1156.337	1.000
jerde			82	20	1	1156.337	1.000
júdá			82	20	1	1156.337	1.000
kóplegen			82	20	1	1156.337	1.000
orta			82	20	1	1156.337	1.000
pushkin			82	20	1	1156.337	1.000
qosıqları			82	20	1	1156.337	1.000
